udprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,departmentname,subbuildingname,buildingname,buildingnumber,dependentthoroughfare,thoroughfare,doubledependentlocality,dependentlocality,posttown,postcode,postcodetype,deliverypointsuffix,welshdependentthoroughfare,welshthoroughfare,welshdoubledependentlocality,welshdependentlocality,welshposttown,poboxnumber,updatedate,entrydate,easting,northing,latitude,longitude,positionalaccuracy,geometryallocationmethod,unmatchedreason,unmatchedreasondate,uprn,matchedaddressfeaturetype,matchtype,matchdate,matchmethod,matchingorganisation
3160062,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,52,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3H,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142843.30,525351.01,54.5578496,-5.9788855,Central Internal Position,Matched UPRN,NULL,NULL,185085434,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160063,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,54,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3J,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142835.50,525353.68,54.5578696,-5.9790081,Central Internal Position,Matched UPRN,NULL,NULL,185085435,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160064,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,6,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3L,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142998.61,525265.44,54.5571614,-5.9764151,Central Internal Position,Matched UPRN,NULL,NULL,185085436,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160065,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,7,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3N,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,143006.80,525290.84,54.5573932,-5.9763109,Central Internal Position,Matched UPRN,NULL,NULL,185085437,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160066,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,8,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3P,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142992.88,525268.94,54.5571899,-5.9765065,Central Internal Position,Matched UPRN,NULL,NULL,185085438,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160067,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,9,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3Q,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,143001.17,525295.34,54.5574307,-5.9764018,Central Internal Position,Matched UPRN,NULL,NULL,185085439,Built Address,Direct,2016-03-16,Automated,GeoPlace
3161721,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,144,NULL,FINAGHY ROAD NORTH,NULL,NULL,BELFAST,BT10 0JE,Small User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2023-06-08,2016-01-18,142144.43,526404.63,54.5669398,-5.9905895,General Internal Position,Matched UPRN,NULL,NULL,187681678,Prebuild Address,Direct,2017-05-13,Automated,GeoPlace
3170158,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,ANDERSONSTOWN HEALTH CENTRE,NULL,NULL,BALLYOWEN HOUSE,NULL,NULL,ANDERSONSTOWN ROAD,NULL,NULL,BELFAST,BT11 9DR,Large User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,141915.23,527057.68,54.5726775,-5.9946992,Street Location,Matched UPRN,NULL,NULL,191011885,Non Addressable Object,Street,2025-07-24,Unknown,GeoPlace
3168043,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,ST. MARYS CHRISTIAN BROTHERS GRAMMAR SCHOOL,NULL,NULL,147A,NULL,NULL,GLEN ROAD,NULL,NULL,BELFAST,BT11 8NR,Large User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,140277.99,527516.03,54.5759485,-6.0203672,Street Location,Matched UPRN,NULL,NULL,191009532,Non Addressable Object,Street,2025-07-24,Unknown,GeoPlace
58282536,2026-02-17,2026-02-18T00:00:00.000Z,NULL,New,Address,Postcode Address File,MANAGEMENT OFFICE,NULL,NULL,NULL,7,NULL,BLACK RIDGE CLOSE,NULL,NULL,BELFAST,BT11 8UW,Small User,1R,NULL,NULL,NULL,NULL,NULL,NULL,2026-02-13,2026-02-13,141882.97,528193.80,54.5828463,-5.9961950,General Internal Position,Matched UPRN,NULL,NULL,191062489,Prebuild Address,Parent,2026-02-13,Unknown,GeoPlace
